# 2025-04-23 15:28:30
# dummytext
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
15.199674752326196;11.331179;22.626398;0;0;0;0;0;0
15.319672378519384;11.213183;22.648224;0;0;0;0;0;0
15.39967162531584;11.134255;22.661272;0;0;0;0;0;0
15.47967114057687;11.055176;22.673373;0;0;0;0;0;0
15.599670983430935;10.936378;22.690314;0;0;0;0;0;0
15.679670030256506;10.857096;22.701001;0;0;0;0;0;0
15.759669854568813;10.777765;22.711324;0;0;0;0;0;0
15.879669807277137;10.658778;22.726883;0;0;0;0;0;0
15.959670430137214;10.579441;22.737166;0;0;0;0;0;0
16.079669869790074;10.460382;22.75216;0;0;0;0;0;0
16.159669675471086;10.381004;22.762115;0;0;0;0;0;0
16.239669757883544;10.301673;22.77244;0;0;0;0;0;0
16.35966995936671;10.182713;22.788206;0;0;0;0;0;0
16.43966970412255;10.103438;22.79895;0;0;0;0;0;0
16.55966990894321;9.984624;22.815781;0;0;0;0;0;0
16.639669081595184;9.905475;22.827413;0;0;0;0;0;0
16.719669408519515;9.826407;22.839591;0;0;0;0;0;0
16.839669421540346;9.707957;22.858816;0;0;0;0;0;0
16.919668829319406;9.629063;22.872069;0;0;0;0;0;0
17.03966864931927;9.510839;22.892637;0;0;0;0;0;0
17.119669055443243;9.432101;22.906793;0;0;0;0;0;0
17.19966842172198;9.353399;22.921142;0;0;0;0;0;0
17.279668395084474;9.274732;22.935685;0;0;0;0;0;0
17.399668589117653;9.15683;22.958027;0;0;0;0;0;0
17.479668636367638;9.078212;22.972833;0;0;0;0;0;0
17.599668768071734;8.960177;22.994461;0;0;0;0;0;0
17.679667953723836;8.881446;23.008649;0;0;0;0;0;0
17.759667944573835;8.80264;23.022419;0;0;0;0;0;0
17.87966828011503;8.684357;23.042648;0;0;0;0;0;0
17.959668382271214;8.605489;23.056059;0;0;0;0;0;0
18.079668203541914;8.487161;23.07602;0;0;0;0;0;0
18.159667874497487;8.408249;23.089167;0;0;0;0;0;0
18.239668386027102;8.329346;23.102373;0;0;0;0;0;0
18.359668337047925;8.210964;23.122012;0;0;0;0;0;0
18.439668010328507;8.132007;23.134886;0;0;0;0;0;0
18.559667527981702;8.013546;23.15404;0;0;0;0;0;0
18.639667624994143;7.934567;23.166781;0;0;0;0;0;0
18.719667886099966;7.855583;23.179492;0;0;0;0;0;0
18.799667725731055;7.776593;23.192163;0;0;0;0;0;0
18.91966712927124;7.658034;23.2107;0;0;0;0;0;0
18.999667431951917;7.578932;23.222655;0;0;0;0;0;0
19.11966756541851;7.460248;23.240379;0;0;0;0;0;0
19.1996676658247;7.381175;23.252523;0;0;0;0;0;0
19.27966726232368;7.302179;23.265155;0;0;0;0;0;0
19.399667154127798;7.183842;23.285063;0;0;0;0;0;0
19.479666568906907;7.105031;23.298801;0;0;0;0;0;0
19.599666216377223;6.986923;23.320024;0;0;0;0;0;0
19.67966648178303;6.908311;23.334863;0;0;0;0;0;0
19.759665950406266;6.829743;23.349929;0;0;0;0;0;0
19.879666431746966;6.711892;23.37254;0;0;0;0;0;0
19.959666215577922;6.633269;23.387318;0;0;0;0;0;0
20.07966338259865;6.515051;23.407905;0;0;0;0;0;0
20.15966206063773;6.435973;23.420007;0;0;0;0;0;0
20.23966063353125;6.356649;23.430374;0;0;0;0;0;0
20.319658148898917;6.277097;23.438805;0;0;0;0;0;0
20.439646588612916;6.157393;23.447062;0;0;0;0;0;0
20.51964192015795;6.077423;23.449075;0;0;0;0;0;0
20.639623044344216;5.957478;23.446131;0;0;0;0;0;0
20.71961695756891;5.877721;23.439979;0;0;0;0;0;0
20.799611585294777;5.798282;23.430567;0;0;0;0;0;0
20.919593406521994;5.679998;23.410454;0;0;0;0;0;0
20.999586751607694;5.601961;23.392871;0;0;0;0;0;0
21.11956596032737;5.486531;23.360146;0;0;0;0;0;0
21.199559463019778;5.410878;23.334154;0;0;0;0;0;0
21.279552910657696;5.336439;23.304866;0;0;0;0;0;0
21.399530642362375;5.227375;23.254869;0;0;0;0;0;0
21.47952223487684;5.156682;23.217437;0;0;0;0;0;0
21.599499592144785;5.054041;23.155313;0;0;0;0;0;0
21.67949312666477;4.988159;23.109942;0;0;0;0;0;0
21.759484898966676;4.924403;23.061632;0;0;0;0;0;0
21.839477035942757;4.863066;23.010285;0;0;0;0;0;0
21.95945375535115;4.77585;22.927897;0;0;0;0;0;0
22.039446570541017;4.720939;22.869728;0;0;0;0;0;0
22.15942280032842;4.643722;22.777903;0;0;0;0;0;0
22.239415682418016;4.595818;22.71384;0;0;0;0;0;0
22.319410337895743;4.55075;22.647749;0;0;0;0;0;0
22.43938746503671;4.488681;22.545075;0;0;0;0;0;0
22.519381552980757;4.451172;22.47442;0;0;0;0;0;0
22.639366316055074;4.400101;22.365847;0;0;0;0;0;0
22.719362653971253;4.369269;22.292031;0;0;0;0;0;0
22.7993597036981;4.340816;22.217265;0;0;0;0;0;0
22.919351534674217;4.302026;22.103716;0;0;0;0;0;0
22.999349273023498;4.278597;22.027226;0;0;0;0;0;0
23.119345859929126;4.246359;21.911641;0;0;0;0;0;0
23.199344480542234;4.226639;21.834111;0;0;0;0;0;0
23.279343574793355;4.208348;21.756231;0;0;0;0;0;0
